par_id,exp_dep,age_dep,seasforc_width_wks,R0,seasforce_peak,omega,const_delta
996,0.875,0.5,5,1.1,0.75,0.004,1.8691085325744838
997,1,0.5,5,1.1,0.75,0.004,2.241150937465798
998,1.125,0.5,5,1.1,0.75,0.004,2.669483259488741
999,1.25,0.5,5,1.1,0.75,0.004,3.1607667683826803
1000,1.375,0.5,5,1.1,0.75,0.004,3.7225751476253994
1001,1.5,0.5,5,1.1,0.75,0.004,4.36354243718885
1007,0.375,0.5625,5,1.1,0.75,0.004,1.0301130179605966
1008,0.5,0.5625,5,1.1,0.75,0.004,1.2767882225818397
1009,0.625,0.5625,5,1.1,0.75,0.004,1.5680156615881242
1010,0.75,0.5625,5,1.1,0.75,0.004,1.909118563167689
1011,0.875,0.5625,5,1.1,0.75,0.004,2.3059286516742707
1012,1,0.5625,5,1.1,0.75,0.004,2.764919248595368
1013,1.125,0.5625,5,1.1,0.75,0.004,3.2933550010288664
1014,1.25,0.5625,5,1.1,0.75,0.004,3.899453951148799
1015,1.375,0.5625,5,1.1,0.75,0.004,4.592559790573797
1021,0.25,0.625,5,1.1,0.75,0.004,0.9893914279936842
1022,0.375,0.625,5,1.1,0.75,0.004,1.238280803218315
1023,0.5,0.625,5,1.1,0.75,0.004,1.5348047430061689
1024,0.625,0.625,5,1.1,0.75,0.004,1.884884142843157
1025,0.75,0.625,5,1.1,0.75,0.004,2.2949179620295914
1026,0.875,0.625,5,1.1,0.75,0.004,2.7719164141934542
1027,1,0.625,5,1.1,0.75,0.004,3.323660965631452
1028,1.125,0.625,5,1.1,0.75,0.004,3.958884321286254
1036,0.25,0.6875,5,1.1,0.75,0.004,1.1648325946703895
1037,0.375,0.6875,5,1.1,0.75,0.004,1.4578556071263358
1038,0.5,0.6875,5,1.1,0.75,0.004,1.8069598548409018
1039,0.625,0.6875,5,1.1,0.75,0.004,2.219116140123952
1040,0.75,0.6875,5,1.1,0.75,0.004,2.7018581004763664
1041,0.875,0.6875,5,1.1,0.75,0.004,3.2634390167518474
1042,1,0.6875,5,1.1,0.75,0.004,3.9130201827722915
1043,1.125,0.6875,5,1.1,0.75,0.004,4.660882806833085
1051,0.25,0.75,5,1.1,0.75,0.004,1.348883212717672
1052,0.375,0.75,5,1.1,0.75,0.004,1.6882056391764098
1053,0.5,0.75,5,1.1,0.75,0.004,2.092470476360038
1054,0.625,0.75,5,1.1,0.75,0.004,2.5697499556415235
1055,0.75,0.75,5,1.1,0.75,0.004,3.128768074960247
1056,0.875,0.75,5,1.1,0.75,0.004,3.779082183624897
1066,0.25,0.8125,5,1.1,0.75,0.004,1.541649448708554
1067,0.375,0.8125,5,1.1,0.75,0.004,1.929463772997322
1068,0.5,0.8125,5,1.1,0.75,0.004,2.391501299671501
1069,0.625,0.8125,5,1.1,0.75,0.004,2.9369878467475483
1070,0.75,0.8125,5,1.1,0.75,0.004,3.5758941414811454
1071,0.875,0.8125,5,1.1,0.75,0.004,4.3191433550956715
1081,0.25,0.875,5,1.1,0.75,0.004,1.7436680977534151
1082,0.375,0.875,5,1.1,0.75,0.004,2.1823018388289817
1083,0.5,0.875,5,1.1,0.75,0.004,2.704885034315832
1084,0.625,0.875,5,1.1,0.75,0.004,3.3218524588408718
1096,0.25,0.9375,5,1.1,0.75,0.004,1.9557564108379968
1097,0.375,0.9375,5,1.1,0.75,0.004,2.4477426737189236
1098,0.5,0.9375,5,1.1,0.75,0.004,3.0338894502106446
1111,0.25,1,5,1.1,0.75,0.004,2.1789015459890377
1112,0.375,1,5,1.1,0.75,0.004,2.7270217632390428
1113,0.5,1,5,1.1,0.75,0.004,3.3800458875097505
1154,1.875,0.1875,7,1.1,0.75,0.004,1.364593562742744
1155,2,0.1875,7,1.1,0.75,0.004,1.5774122319577717
1167,1.625,0.25,7,1.1,0.75,0.004,1.5212649068245703
1168,1.75,0.25,7,1.1,0.75,0.004,1.7692271616871733
1169,1.875,0.25,7,1.1,0.75,0.004,2.05095938065683
1170,2,0.25,7,1.1,0.75,0.004,2.3708219814506943
1180,1.375,0.3125,7,1.1,0.75,0.004,1.6023891581571188
1181,1.5,0.3125,7,1.1,0.75,0.004,1.878294679147072
1182,1.625,0.3125,7,1.1,0.75,0.004,2.1925152252679094
1183,1.75,0.3125,7,1.1,0.75,0.004,2.549889550172852
1184,1.875,0.3125,7,1.1,0.75,0.004,2.9559346622163902
1193,1.125,0.375,7,1.1,0.75,0.004,1.5850246112453208
1194,1.25,0.375,7,1.1,0.75,0.004,1.8767276777200566
1195,1.375,0.375,7,1.1,0.75,0.004,2.210305385966898
1196,1.5,0.375,7,1.1,0.75,0.004,2.590884258432218
1197,1.625,0.375,7,1.1,0.75,0.004,3.0243141539958582
1206,0.875,0.4375,7,1.1,0.75,0.004,1.4676142268211165
1207,1,0.4375,7,1.1,0.75,0.004,1.7597399738729274
1208,1.125,0.4375,7,1.1,0.75,0.004,2.096064268932635
1209,1.25,0.4375,7,1.1,0.75,0.004,2.4818175060987113
1210,1.375,0.4375,7,1.1,0.75,0.004,2.922946501956559
1211,1.5,0.4375,7,1.1,0.75,0.004,3.426230659455218
1212,1.625,0.4375,7,1.1,0.75,0.004,3.999405934294868
1219,0.625,0.5,7,1.1,0.75,0.004,1.2709809777318215
1220,0.75,0.5,7,1.1,0.75,0.004,1.5474675651920973
1221,0.875,0.5,7,1.1,0.75,0.004,1.8691085325744838
1222,1,0.5,7,1.1,0.75,0.004,2.241150937465798
1223,1.125,0.5,7,1.1,0.75,0.004,2.669483259488741
1224,1.25,0.5,7,1.1,0.75,0.004,3.1607667683826803
1225,1.375,0.5,7,1.1,0.75,0.004,3.7225751476253994
1226,1.5,0.5,7,1.1,0.75,0.004,4.36354243718885
1232,0.375,0.5625,7,1.1,0.75,0.004,1.0301130179605966
1233,0.5,0.5625,7,1.1,0.75,0.004,1.2767882225818397
1234,0.625,0.5625,7,1.1,0.75,0.004,1.5680156615881242
1235,0.75,0.5625,7,1.1,0.75,0.004,1.909118563167689
1236,0.875,0.5625,7,1.1,0.75,0.004,2.3059286516742707
1237,1,0.5625,7,1.1,0.75,0.004,2.764919248595368
1238,1.125,0.5625,7,1.1,0.75,0.004,3.2933550010288664
1239,1.25,0.5625,7,1.1,0.75,0.004,3.899453951148799
