agegroup,epi_year,epi_year_wk_start,parname,par_bin,varname,parvalue,mean_parvalue,median,mean,ci50_l,ci50_u,ci95_l,ci95_u
1,2020,23,age_dep,6,peak_hosp,0.1976434322760091,0.1976434322760091,4.745089366099553e-4,6.375356326556004e-4,3.392868114809408e-4,6.765050233498453e-4,2.260903978646206e-4,0.0021533280298178608
1,2020,23,age_dep,6,peak_yday,0.1976434322760091,0.1976434322760091,-179,-177.075,-186,-165,-207,-144
1,2020,23,age_dep,7,cumul_hosp,0.2170314832406361,0.2170314832406361,2.3546821186038456e-4,2.5362454249539223e-4,2.010676232458204e-4,2.9118730950695445e-4,1.4805239122553948e-4,4.5240820930274203e-4
1,2020,23,age_dep,7,peak_hosp,0.2170314832406361,0.2170314832406361,4.560041422422789e-4,5.718266581619437e-4,3.3698022200850063e-4,6.763564513278847e-4,2.319482845566714e-4,0.0015050243880008268
1,2020,23,age_dep,7,peak_yday,0.2170314832406361,0.2170314832406361,-179,-178.86,-186,-172,-200.175,-151
1,2020,23,age_dep,8,cumul_hosp,0.23853720968753817,0.23853720968753817,2.5986985115735486e-4,2.833497562259465e-4,2.1234207383049577e-4,3.2714326789223325e-4,1.588364991913003e-4,5.374709331773777e-4
1,2020,23,age_dep,8,peak_hosp,0.23853720968753817,0.23853720968753817,5.182954499547577e-4,6.854111818060231e-4,3.698215106034599e-4,7.74378403608325e-4,2.3487841104476588e-4,0.0018333238012675965
1,2020,23,age_dep,8,peak_yday,0.23853720968753817,0.23853720968753817,-172,-173.015,-186,-165,-200,-144
1,2020,23,age_dep,9,cumul_hosp,0.26250738915317245,0.26250738915317245,2.8366315282742685e-4,3.012057090269725e-4,2.4081673868945865e-4,3.5200090277480293e-4,1.7583400240669863e-4,5.090616619147528e-4
1,2020,23,age_dep,9,peak_hosp,0.26250738915317245,0.26250738915317245,5.762873103693058e-4,7.450501612754977e-4,4.1121705277251034e-4,9.314887668357081e-4,2.6481855005716306e-4,0.0020855122526927633
1,2020,23,age_dep,9,peak_yday,0.26250738915317245,0.26250738915317245,-172,-169.97,-180.75,-158,-200,-137
1,2020,23,age_dep,10,cumul_hosp,0.29920687923560907,0.29920687923560907,3.0505864566525626e-4,3.235642627855373e-4,2.551568033825657e-4,3.629508503898895e-4,1.9824062126684854e-4,5.946843399568841e-4
1,2020,23,age_dep,10,peak_hosp,0.29920687923560907,0.29920687923560907,5.389215333875023e-4,7.716649642743174e-4,4.1966586911178715e-4,8.402065955952828e-4,2.891405982034677e-4,0.0030860470819890078
