agegroup,infection,par_id,cumul_mean_incid,sum_abs_diff,sum_rel_diff
4,2,6329,126924,74309,0.5855
4,3,6329,183201,80160,0.4376
5,1,6329,4678,3346,0.7153
5,2,6329,119901,71789,0.5987
5,3,6329,383426,169528,0.4421
6,1,6329,592,435,0.7351
6,2,6329,53680,32343,0.6025
6,3,6329,406156,181171,0.4461
7,1,6329,64,49,0.7582
7,2,6329,22809,13664,0.5991
7,3,6329,388893,174608,0.449
8,1,6329,7,5,0.8097
8,2,6329,15481,9393,0.6068
8,3,6329,3822863,1729645,0.4524
9,1,6329,0,0,NA
9,2,6329,1166,581,0.4985
9,3,6329,4283643,1983661,0.4631
10,1,6329,0,0,NA
10,2,6329,151,76,0.5004
10,3,6329,2624532,1223649,0.4662
11,1,6329,0,0,NA
11,2,6329,116,57,0.4923
11,3,6329,1870371,875053,0.4678
1,1,17172,468700,9161,0.0195
1,2,17172,106106,1828,0.0172
1,3,17172,12802,384,0.03
2,1,17172,138321,4885,0.0353
2,2,17172,141960,3493,0.0246
2,3,17172,37748,1077,0.0285
3,1,17172,51079,1739,0.034
3,2,17172,133836,3682,0.0275
3,3,17172,51507,1695,0.0329
4,1,17172,16858,629,0.0373
4,2,17172,122021,3872,0.0317
4,3,17172,106703,3084,0.0289
5,1,17172,4836,182,0.0377
5,2,17172,131146,4228,0.0322
5,3,17172,194607,7288,0.0375
6,1,17172,646,25,0.0393
6,2,17172,68514,2325,0.0339
6,3,17172,187556,7627,0.0407
7,1,17172,75,3,0.0402
7,2,17172,34620,1344,0.0388
7,3,17172,159495,6827,0.0428
8,1,17172,9,0,0.0436
8,2,17172,39375,1809,0.0459
8,3,17172,1609071,71324,0.0443
9,1,17172,0,0,NA
9,2,17172,6492,390,0.0601
9,3,17172,1301780,59936,0.046
10,1,17172,0,0,NA
10,2,17172,6267,1247,0.1991
10,3,17172,655907,30927,0.0472
11,1,17172,0,0,NA
11,2,17172,11625,1969,0.1694
11,3,17172,384463,18610,0.0484
1,1,17185,453273,13435,0.0296
1,2,17185,125222,3283,0.0262
1,3,17185,26689,790,0.0296
2,1,17185,122278,6562,0.0537
2,2,17185,149899,5591,0.0373
2,3,17185,69213,2547,0.0368
3,1,17185,44598,2338,0.0524
3,2,17185,137196,5955,0.0434
3,3,17185,104114,4141,0.0398
4,1,17185,14341,835,0.0582
4,2,17185,116125,5599,0.0482
4,3,17185,165511,7474,0.0452
5,1,17185,4037,244,0.0604
5,2,17185,126687,6608,0.0522
5,3,17185,368289,16208,0.044
6,1,17185,524,33,0.0637
6,2,17185,66658,3586,0.0538
6,3,17185,372386,16640,0.0447
7,1,17185,59,4,0.0665
7,2,17185,33684,1787,0.0531
7,3,17185,328939,15257,0.0464
8,1,17185,7,0,0.0743
8,2,17185,32493,1804,0.0555
8,3,17185,3191093,153768,0.0482
9,1,17185,0,0,NA
9,2,17185,3364,218,0.0647
9,3,17185,3003541,150960,0.0503
10,1,17185,0,0,NA
10,2,17185,1072,381,0.3553
10,3,17185,1472548,74958,0.0509
11,1,17185,0,0,NA
11,2,17185,3646,1378,0.3778
11,3,17185,829994,42307,0.051
1,1,17186,475712,5244,0.011
1,2,17186,112659,1111,0.0099
1,3,17186,17316,269,0.0155
2,1,17186,133262,2728,0.0205
2,2,17186,143779,2033,0.0141
2,3,17186,47436,700,0.0148
3,1,17186,48919,951,0.0194
3,2,17186,133761,2215,0.0166
3,3,17186,63535,1191,0.0188
4,1,17186,16100,349,0.0217
4,2,17186,119251,2288,0.0192
4,3,17186,120924,2009,0.0166
5,1,17186,4666,103,0.0221
5,2,17186,128863,2554,0.0198
5,3,17186,217576,5012,0.023
6,1,17186,631,15,0.0233
6,2,17186,67047,1409,0.021
6,3,17186,202238,5189,0.0257
7,1,17186,75,2,0.0252
7,2,17186,33630,830,0.0247
7,3,17186,165119,4493,0.0272
8,1,17186,9,0,0.0286
8,2,17186,39916,1098,0.0275
8,3,17186,1627944,44873,0.0276
9,1,17186,0,0,NA
9,2,17186,9880,1769,0.179
9,3,17186,1244940,35048,0.0282
10,1,17186,0,0,NA
