exp_dep,age_dep,seasforc_width_wks,R0,peak_week,seasforce_peak,omega,par_id,const_delta,seas_conc_lim,npi_start,npi_stop,seas_start_wk,seas_stop_wk
1,0.5,5,1,48,1,0.002857142857142857,16522,2.0374099431507258,0.85,2020-03-26,2021-05-17,42,8
1.125,0.5,5,1,48,1,0.002857142857142857,16523,2.426802963171583,0.85,2020-03-26,2021-05-17,42,8
1.375,0.5,5,1,48,1,0.002857142857142857,16525,3.3841592251139994,0.85,2020-03-26,2021-05-17,42,8
0.875,0.5625,5,1,48,1,0.002857142857142857,16536,2.0962987742493366,0.85,2020-03-26,2021-05-17,42,8
0.625,0.625,5,1,48,1,0.002857142857142857,16549,1.7135310389483245,0.85,2020-03-26,2021-05-17,42,8
0.25,0.6875,5,1,48,1,0.002857142857142857,16561,1.0589387224276268,0.85,2020-03-26,2021-05-17,42,8
0.375,0.6875,5,1,48,1,0.002857142857142857,16562,1.3253232792057597,0.85,2020-03-26,2021-05-17,42,8
1.625,0.3125,7,1,48,1,0.002857142857142857,16707,1.9931956593344629,0.85,2020-03-26,2021-05-17,42,8
1.75,0.3125,7,1,48,1,0.002857142857142857,16708,2.318081409248047,0.85,2020-03-26,2021-05-17,42,8
1.5,0.375,7,1,48,1,0.002857142857142857,16721,2.3553493258474707,0.85,2020-03-26,2021-05-17,42,8
1.625,0.375,7,1,48,1,0.002857142857142857,16722,2.749376503632598,0.85,2020-03-26,2021-05-17,42,8
1.25,0.4375,7,1,48,1,0.002857142857142857,16734,2.25619773281701,0.85,2020-03-26,2021-05-17,42,8
1.125,0.5,7,1,48,1,0.002857142857142857,16748,2.426802963171583,0.85,2020-03-26,2021-05-17,42,8
0.875,0.5625,7,1,48,1,0.002857142857142857,16761,2.0962987742493366,0.85,2020-03-26,2021-05-17,42,8
0.625,0.625,7,1,48,1,0.002857142857142857,16774,1.7135310389483245,0.85,2020-03-26,2021-05-17,42,8
0.375,0.6875,7,1,48,1,0.002857142857142857,16787,1.3253232792057597,0.85,2020-03-26,2021-05-17,42,8
1.875,0.1875,3,1.1,48,1,0.002857142857142857,16904,1.364593562742744,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,3,1.1,48,1,0.002857142857142857,16905,1.5774122319577717,0.85,2020-03-26,2021-05-17,42,8
1.875,0.25,3,1.1,48,1,0.002857142857142857,16919,2.05095938065683,0.85,2020-03-26,2021-05-17,42,8
1.5,0.3125,3,1.1,48,1,0.002857142857142857,16931,1.878294679147072,0.85,2020-03-26,2021-05-17,42,8
1.375,0.375,3,1.1,48,1,0.002857142857142857,16945,2.210305385966898,0.85,2020-03-26,2021-05-17,42,8
1.25,0.4375,3,1.1,48,1,0.002857142857142857,16959,2.4818175060987113,0.85,2020-03-26,2021-05-17,42,8
1,0.5,3,1.1,48,1,0.002857142857142857,16972,2.241150937465798,0.85,2020-03-26,2021-05-17,42,8
0.875,0.5625,3,1.1,48,1,0.002857142857142857,16986,2.3059286516742707,0.85,2020-03-26,2021-05-17,42,8
0.625,0.625,3,1.1,48,1,0.002857142857142857,16999,1.884884142843157,0.85,2020-03-26,2021-05-17,42,8
0.25,0.6875,3,1.1,48,1,0.002857142857142857,17011,1.1648325946703895,0.85,2020-03-26,2021-05-17,42,8
0.375,0.6875,3,1.1,48,1,0.002857142857142857,17012,1.4578556071263358,0.85,2020-03-26,2021-05-17,42,8
1.875,0.1875,5,1.1,48,1,0.002857142857142857,17129,1.364593562742744,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,5,1.1,48,1,0.002857142857142857,17130,1.5774122319577717,0.85,2020-03-26,2021-05-17,42,8
1.875,0.25,5,1.1,48,1,0.002857142857142857,17144,2.05095938065683,0.85,2020-03-26,2021-05-17,42,8
1.625,0.3125,5,1.1,48,1,0.002857142857142857,17157,2.1925152252679094,0.85,2020-03-26,2021-05-17,42,8
1.75,0.3125,5,1.1,48,1,0.002857142857142857,17158,2.549889550172852,0.85,2020-03-26,2021-05-17,42,8
1.5,0.375,5,1.1,48,1,0.002857142857142857,17171,2.590884258432218,0.85,2020-03-26,2021-05-17,42,8
1.625,0.375,5,1.1,48,1,0.002857142857142857,17172,3.0243141539958582,0.85,2020-03-26,2021-05-17,42,8
1.375,0.4375,5,1.1,48,1,0.002857142857142857,17185,2.922946501956559,0.85,2020-03-26,2021-05-17,42,8
1.625,0.4375,5,1.1,48,1,0.002857142857142857,17187,3.999405934294868,0.85,2020-03-26,2021-05-17,42,8
